HS Code,Item Description,Basic Duty (SCH),IGST,10% SWS,Total duty with SWS of 10% on BCD
0106 32 00,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",30,0,3,33.0
0106 33 00,Ostriches; emus (Dromaius novaehollandiae),30,0,3,33.0
0106 39 00,Other,30,0,3,33.0
0106 41 10,Pureline stock,30,0,3,33.0
0106 41 90,Other,30,0,3,33.0
0106 49 10,Pureline stock,30,0,3,33.0
0106 49 90,Other,30,0,3,33.0
0106 90 00,Other ,30,0,3,33.0
0201 10 00,Carcasses and half-carcasses,30,0,3,33.0
0201 20 00,Other cuts with bone in,30,0,3,33.0
0201 30 00,Boneless,30,0,3,33.0
0202 10 00,Carcasses and half-carcasses,30,0/5,3,
0202 20 00,Other cuts with bone in,30,0/5,3,
0202 30 00,Boneless,30,0/5,3,
0203 11 00,Carcasses and half-carcasses,30,0/5,3,
0203 12 00,"Hams, shoulders and cuts thereof, with bone in",30,0/5,3,
0203 19 00,Other,30,0/5,3,
0203 21 00,Carcasses and half-carcasses,30,0/5,3,
0203 22 00,"Hams, shoulders and cuts thereof, with bone in",30,0/5,3,
0203 29 00,Other,30,0/5,3,
0204 10 00,"Carcasses and half-carcasses of lamb, fresh or chilled",30,0/5,3,
0204 21 00,Carcasses and half-carcasses,30,0/5,3,
0204 22 00,Other cuts with bone in,30,0/5,3,
0204 23 00,Boneless,30,0/5,3,
0204 30 00,"Carcasses and half-carcasses of lamb, frozen",30,0/5,3,
0204 41 00,Carcasses and half-carcasses,30,0/5,3,
0204 42 00,Other cuts with bone in,30,0/5,3,
0204 43 00,Boneless,30,0/5,3,
0204 50 00,Meat of goats,30,0/5,3,
0205 00 00,"MEAT OF HORSES, ASSES MULES OF HINNIES, FRESH, CHILLED OR FROZEN",30,0/5,3,
0206 10 00,"Of bovine animals, fresh or chilled",30,0/5,3,
0206 21 00,Tongues,30,0/5,3,
0206 22 00,Livers,30,0/5,3,
0206 29 00,Other,30,0/5,3,
0206 30 00,"Of swine, fresh or chilled",30,0/5,3,
0206 41 00,Livers,30,0/5,3,
0206 49 00,Other,30,0/5,3,
0206 80 10,Of sheep or goats,30,0/5,3,
0206 80 90,Other,30,0/5,3,
0206 90 10,Of sheep or goats,30,0/5,3,
0206 90 90,Other,30,0/5,3,
0207 11 00,"Not cut in pieces, fresh or chilled",30,0/5,3,
0207 12 00,"Not cut in pieces, frozen",30,0/5,3,
0207 13 00,"Cuts and offal, fresh or chilled",100,0/5,0,
0207 14 00,"Cuts and offal, frozen",100,0/5,0,
0207 24 00,"Not cut in pieces, fresh or chilled",30,0/5,3,
0207 25 00,"Not cut in pieces, frozen",30,0/5,3,
0207 26 00,"Cuts and offal, fresh or chilled",30,0/5,3,
0207 27 00,"Cuts and offal, frozen",30,0/5,3,
0207 41 00,"Not cut in pieces, fresh or chilled",30,0/5,3,
0207 42 00,"Not cut in pieces, frozen",30,0/5,3,
0207 43 00,"Fatty livers, fresh or chilled",30,0/5,3,
0207 44 00,"Other, fresh or chilled",30,0/5,3,
0207 45 00,"Other, frozen",30,0/5,3,
0207 51 00,"Not cut in pieces, fresh or chilled",30,0/5,3,
0207 52 00,"Not cut in pieces, frozen",30,0/5,3,
0207 53 00,"Fatty livers, fresh or chilled",30,0/5,3,
0207 54 00,"Other, fresh or chilled",30,0/5,3,
0207 55 00,"Other, frozen",30,0/5,3,
0207 60 00,Of guinea fowls,30,0/5,3,
0208 10 00,Of rabbits or hares,30,0/5,3,
0208 30 00,Of primates,30,0/5,3,
0208 40 00,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the sub-order Pinnipedia)",30,0/5,3,
0208 50 00,Of reptiles (including snakes and turtles),30,0/5,3,
0208 60 00,Of camels and other camelids (Camelidae),30,0/5,3,
0208 90 10,Of wild animals,30,0/5,3,
0208 90 90,Other,30,0/5,3,
0209 10 00,Of pigs,30,0/5,3,
0209 90 00,Other,30,0/5,3,
0210 11 00,"Hams, shoulders and cuts thereof, with bone in",30,0/5,3,
0210 12 00,Bellies (streaky) and cuts thereof,30,0/5,3,
0210 19 00,Other,30,0/5,3,
0210 20 00,Meat ,30,0/5,3,
0210 91 00,Of primates,30,0/5,3,
0210 92 00,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the sub-order Pinnipedia)",30,0/5,3,
0210 93 00,Of reptiles (including snakes and turtles),30,0/5,3,
0210 99 00,Other,30,0/5,3,
0301 11 00,Freshwater,30,0,3,33.0
0301 19 00,Other,30,0,3,33.0
0301 91 00,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchusclarki,Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",30,0,3,33.0
0301 92 00,Eels (Anguilla spp.),30,0,3,33.0
0301 93 00,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",30,0,3,33.0
0301 94 00,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",30,0,3,33.0
0301 95 00,Southern bluefin tunas (Thunnus maccoyii),30,0,3,33.0
0301 99 00,Other,30,0,3,33.0
0302 11 00,"Trout (Salmo trutta, Oncorhyncus mykiss, Oncorhyncus clarkii, Oncorhyncus aguabonita, Oncorhyncus gilae, Oncorhyncus apache and Oncorhyncus chrysogaster)",30,0,3,33.0
0302 13 00,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha,Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",30,0,3,33.0
0302 14 00,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),30,0,3,33.0
0302 19 00,Other,30,0,3,33.0
0302 21 00,"Halibut (Rheinhardtius hippoglossidae, Hippoglossus hippoglossus, Hippoglossus stenolepis)",30,0,3,33.0
0302 22 00,Plaice (Pleuronectes platessa),30,0,3,33.0
0302 23 00,Sole (Solea spp.),30,0,3,33.0
0302 24 00,Turbots (Psetta maxima),30,0,3,33.0
0302 29 00,Other,30,0,3,33.0
0302 31 00,Albacore or long finned tunas (Thunnus alalunga),30,0,3,33.0
0302 32 00,Yellowfin tunas (Thunnus albacares),30,0,3,33.0
0302 33 00,Skipjack tuna (stripe-bellied bonito) (Katsuwonuspelamis),30,0,3,33.0
0302 34 00,Bigeye tunas (Thunnus obesus),30,0,3,33.0
0302 35 00,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",30,0,3,33.0
0302 36 00,Southern bluefin tunas (Thunnus maccoyii),30,0,3,33.0
0302 39 00,Other,30,0,3,33.0
0302 41 00,"Herrings (Clupea harengus, Clupea pallasii) ",30,0,3,33.0
0302 42 00,Anchovies (Engraulis spp.),30,0,3,33.0
0302 43 00,"Sardines (Sardina pilchardus, Sardinops spp.), Sardinella (Sardinella spp.) brisling or sprats (Sprattus sprattus)",30,0,3,33.0
0302 44 00,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",30,0,3,33.0
0302 45 00,Jack and horse mackerel (Trachurus spp.),30,0,3,33.0
0302 46 00,Cobia (Rachycentron canadum),30,0,3,33.0
0302 47 00,Swordfish (Xiphiasgladius),30,0,3,33.0
0302 49 00,Other,30,0,3,33.0
0302 51 00,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",30,0,3,33.0
0302 52 00,Haddock (Melangrammus aegllefinus),30,0,3,33.0
0302 53 00,Coal fish (Pollachinus virens),30,0,3,33.0
0302 54 00,"Hake (Merluccius spp., Urophycis spp.)",30,0,3,33.0
0302 55 00,Alaska Pollock (Theragrachalcogramma),30,0,3,33.0
0302 56 00,"Blue whittings (Micromesistius poutassou, Micromesistius australis)",30,0,3,33.0
0302 59 00,Other,30,0,3,33.0
0302 71 00,"Tilapias (Oreochromis spp.),",30,0,3,33.0
0302 72 00,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",30,0,3,33.0
0302 73 00,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.):",30,0,3,33.0
0302 74 00,Eels (Anguilla spp.),30,0,3,33.0
0302 79 00,Other,30,0,3,33.0
0302 81 00,Dogfish and other sharks,30,0,3,33.0
0302 82 00,Rays and skates (Rajidae),30,0,3,33.0
0302 83 00,Tooth fish (Dissostichus spp.),30,0,3,33.0
0302 84 00,Seabass (Dicentrarchus spp.),30,0,3,33.0
0302 85 00,Seabream (Sparidae),30,0,3,33.0
0302 89 10,Hilsa (Tenualosa ilisha),30,0,3,33.0
0302 89 20,Dara,30,0,3,33.0
0302 89 30,Pomfret,30,0,3,33.0
0302 89 90,Other,30,0,3,33.0
0302 91 00,"Livers, roes and milt",30,0,3,33.0
0302 92 00,Shark fins,30,0,3,33.0
0302 99 10,"Fish fins other than shark fins; heads, tails and maws",30,0,3,33.0
0302 99 90,Other edible fish offal,30,0,3,33.0
0303 11 00,Sockeye salmon (red salmon) (Oncorhynchus nerka),30,0/5,3,
0303 12 00,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, O ncorhynchus ts chawyt scha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",30,0/5,3,
0303 13 00,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),30,0/5,3,
0303 14 00,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",30,0/5,3,
0303 19 00,Other,30,0/5,3,
0303 23 00,Tilapias (Oreochromis spp.),30,0/5,3,
0303 24 00,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",30,0/5,3,
0303 25 00,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",30,0/5,3,
0303 26 00,Eels (Anguilla spp.),30,0/5,3,
0303 29 00,Other,30,0/5,3,
0303 31 00,"Halibut (Rheinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",30,0/5,3,
0303 32 00,Plaice (Pleuronectes platessa),30,0/5,3,
0303 33 00,Sole (Solea spp.),30,0/5,3,
0303 34 00,Turbots (Psetta maxima),30,0/5,3,
0303 39 00,Other,30,0/5,3,
0303 41 00,Albacore or long finned tunas (Thunnus alalunga),30,0/5,3,
0303 42 00,Yellowfin tunas (Thunnus albacares),30,0/5,3,
0303 43 00,Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis),30,0/5,3,
0303 44 00,Bigeye tunas (Thunnus obesus),30,0/5,3,
0303 45 00,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",30,0/5,3,
0303 46 00,Southern bluefin tunas (Thunnus maccoyii),30,0/5,3,
0303 49 00,Other,30,0/5,3,
0303 51 00,"Herrings (Clupea harengus, Clupea pallasii)",30,0/5,3,
0303 53 00,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",30,0/5,3,
0303 54 00,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",30,0/5,3,
0303 55 00,Jack and horse mackerel (Trachurus spp.),30,0/5,3,
0303 56 00,Cobia (Rachycentron canadum),30,0/5,3,
0303 57 00,Sword fish (Xiphias gladius),30,0/5,3,
0303 59 10,Indian mackerels (Rastrelliger spp.),30,0/5,3,
0303 59 90,Other,30,0/5,3,
0303 63 00,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",30,0/5,3,
0303 64 00,Haddock (Melanogrammus aeglefinus),30,0/5,3,
0303 65 00,Coal fish (Pollachius virens),30,0/5,3,
0303 66 00,"Hake (Merluccius spp., Urophycis spp.)",30,0/5,3,
0303 67 00,Alaska Pollock (Theragra chalcogramma),30,0/5,3,
0303 68 00,"Blue whitings (Micromesistius poutassou, Micromesistiusaustralis)",30,0/5,3,
0303 69 00,Other,30,0/5,3,
0303 81 10,Dogfish,30,0/5,3,
0303 81 90,Other Sharks,30,0/5,3,
0303 82 00,Rays and skates (Rajidae),30,0/5,3,
0303 83 00,Tooth fish (Dissostichus spp.),30,0/5,3,
0303 84 00,Seabass (Dicentrarchus spp.),30,0/5,3,
0303 89 10,Hilsa (Tenualosa ilisha),30,0/5,3,
0303 89 20,Dara,30,0/5,3,
0303 89 30,Ribbon fish,30,0/5,3,
0303 89 40,Seer,30,0/5,3,
0303 89 50,Pomfret (white or silver or black),30,0/5,3,
0303 89 60,Ghol,30,0/5,3,
0303 89 70,Threadfin,30,0/5,3,
0303 89 80,"Croakers, groupers and flounders",30,0/5,3,
0303 89 90,Other,30,0/5,3,
0303 91 10,Egg or egg yolk of fish,30,0/5,3,
0303 91 90,Other,30,0/5,3,
0303 92 00,Shark fins,30,0/5,3,
0303 99 10,"Fish fins other than shark fins, heads, tails and maws",30,0/5,3,
0303 99 90,Other edible fish offal,30,0/5,3,
0304 31 00,Tilapias (Oreochromis spp.),30,0,3,33.0
0304 32 00,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",30,0,3,33.0
0304 33 00,Nile Perch (Lates niloticus),30,0,3,33.0
0304 39 00,Other,30,0,3,33.0
0304 41 00,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",30,0,3,33.0
0304 42 00,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",30,0,3,33.0
0304 43 00,"Flat fish(Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",30,0,3,33.0
0304 44 00,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae Moridae and Muraenolepididae",30,0,3,33.0
0304 45 00,Swordfish (Xiphiasgladius),30,0,3,33.0
0304 46 00,Toothfish (Dissostichus spp.),30,0,3,33.0
0304 47 00,Dogfish and other sharks,30,0,3,33.0
0304 48 00,Rays and skates (Rajidae),30,0,3,33.0
0304 49 10,Hilsa (Tenualosa ilisha),30,0,3,33.0
0304 49 30,Seer,30,0,3,33.0
0304 49 40,Tuna,30,0,3,33.0
0304 49 90,Other,30,0,3,33.0
0304 51 00,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",30,0,3,33.0
0304 52 00,Salmonidae,30,0,3,33.0
0304 53 00,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucci idae, Mor idae and Muraenolepididae",30,0,3,33.0
0304 54 00,Sword fish (Xiphias gladius),30,0,3,33.0
0304 55 00,Tooth fish (Dissostichus spp.),30,0,3,33.0
0304 56 00,Dogfish and other sharks,30,0,3,33.0
0304 57 00,Rays and skates (Rajidae),30,0,3,33.0
0304 59 10,Hilsa (Tenualosa ilisha),30,0,3,33.0
0304 59 30,Seer,30,0,3,33.0
0304 59 40,Tuna,30,0,3,33.0
0304 59 90,Other,30,0,3,33.0
0304 61 00,Tilapias (Oreochromis spp.),30,0/5,3,
0304 62 00,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",30,0/5,3,
0304 63 00,Nile Perch (Lates niloticus),30,0/5,3,
0304 69 00,Other,30,0/5,3,
0304 71 00,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",30,0/5,3,
0304 72 00,Haddock (Melanogrammus aeglefinus),30,0/5,3,
0304 73 00,Coal fish (Pollachius virens),30,0/5,3,
0304 74 00,"Hake (Merluccius spp., Urophycis spp.)",30,0/5,3,
0304 75 00,Alaska Pollock (Theragra chalcogramma),30,0/5,3,
0304 79 00,Other,30,0/5,3,
0304 81 00,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",30,0/5,3,
0304 82 00,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita,  Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",30,0/5,3,
0304 83 00,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",30,0/5,3,
0304 84 00,Sword fish (Xiphias gladius),30,0/5,3,
0304 85 00,Tooth fish (Dissostichus spp.),30,0/5,3,
0304 86 00,"Herrings (Clupea harengus, Clupea pallasii)",30,0/5,3,
0304 87 00,"Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",30,0/5,3,
0304 88 10,Dogfish,30,0/5,3,
0304 88 20,Other sharks,30,0/5,3,
0304 88 30,Rays and skates (Rajidae),30,0/5,3,
0304 89 10,Hilsa (Tenualosa ilisha),30,0/5,3,
0304 89 30,Seer,30,0/5,3,
0304 89 40,Tuna,30,0/5,3,
0304 89 90,Other,30,0/5,3,
0304 91 00,Swordfish (Xiphias gladius),30,0/5,3,
0304 92 00,Toothfish (Dissostichus spp.),30,0/5,3,
0304 93 00,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",30,0/5,3,
0304 94 00,Alaska Pollock (Theragra chalcogramma),30,0/5,3,
0304 95 00,"Fish of the families (Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,) other than Alaska Pollock (Theragra chalcogramma)",30,0/5,3,
0304 96 00,Dogfish and other sharks,30,0/5,3,
0304 97 00,Rays and skates (Rajidae),30,0/5,3,
0304 99 00,Other,30,0/5,3,
0305 20 00,"Livers, roes and milt of fish, dried, smoked, salted or in brine",30,0/5,3,
0305 31 00,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",30,0/5,3,
0305 32 00,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",30,0/5,3,
0305 39 00,Other,30,0/5,3,
0305 41 00,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon(Salmo salar) and Danube salmon (Hucho hucho)",30,0/5,3,
0305 42 00,"Herrings (Clupea harengus, Clupea pallasii)",30,0/5,3,
0305 43 00,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",30,0/5,3,
0305 44 00,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",30,0/5,3,
0305 49 00,Other,30,0/5,3,
0305 51 00,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",30,0/5,3,
0305 52 00,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",30,0/5,3,
0305 53 00,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Mel anonidae, Merl ucciidae, Mori dae and Muraenolepididae, other than cod ( Gadus morhua, Gadus ogac, Gadus macrocephalus)",30,0/5,3,
0305 54 00,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp .), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), Sword fish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae)",30,0/5,3,
0305 59 10,Mumbai duck,30,0/5,3,
0305 59 20,Seer without head,30,0/5,3,
0305 59 30,Sprats,30,0/5,3,
0305 59 90,Other,30,0/5,3,
0305 61 00,"Herrings (Clupea harengus, Clupea pallasii)",30,0/5,3,
0305 62 00,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",30,0/5,3,
0305 63 00,Anchovies( Engraulis spp.),30,0/5,3,
0305 64 00,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",30,0/5,3,
0305 69 10,Mumbai duck,30,0/5,3,
0305 69 20,Seer without head,30,0/5,3,
0305 69 30,Sprats,30,0/5,3,
0305 69 90,Other,30,0/5,3,
0305 71 00,Shark fins,30,0/5,3,
0305 72 00,"Fish heads, tails and maws",30,0/5,3,
0305 79 00,Other,30,0/5,3,
0306 11 00,"Rock lobster and other sea craw fish (Palinurus spp., Panulirus spp., Jasus spp.)",30,5,3,39.65
0306 12 10,"Whole, cooked",30,5,3,39.65
0306 12 90,Other,30,5,3,39.65
0306 14 00,Crabs,30,5,3,39.65
0306 15 00,Norway lobsters (Nephrops norvegicus),30,5,3,39.65
0306 16 10,Accelerated Freeze Dried (AFD),30,5,3,39.65
0306 16 90,Other,30,5,3,39.65
0306 17 11,Accelerated Freeze Dried (AFD),30,5,3,39.65
0306 17 19,Other,30,5,3,39.65
0306 17 20,Vannamei shrimp (Litopenaeus vannamei),30,5,3,39.65
0306 17 30,Indian white shrimp (Fenneropenaeus indicus),30,5,3,39.65
0306 17 40,Black tiger shrimp (Penaeus monodon),30,5,3,39.65
0306 17 50,Flower shrimp (Penaeus semisulcatus),30,5,3,39.65
0306 17 90,Other,30,5,3,39.65
0306 19 00,Other ,30,5,3,39.65
0306 31 00,"Rock lobster and other sea crawfish (Palinurus spp., Jasus spp.)",30,0,3,33.0
0306 32 00,Lobsters (Homarus spp.),30,0,3,33.0
0306 33 00,Crabs,30,0,3,33.0
0306 34 00,Norway lobsters (Nephrops norvegicus),30,0,3,33.0
0306 35 00,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon)",30,0,3,33.0
0306 36 10,Scampi (Macrobachium spp. ),30,0,3,33.0
0306 36 20,Vannamei shrimp (Litopenaeus vannamei),10,0,1,11.0
0306 36 30,Indian white shrimp (Fenneropenaeus indicus),30,0,3,33.0
0306 36 40,Black tiger shrimp (Penaeus monodon),10,0,1,11.0
0306 36 50,Flower shrimp (Penaeus semisulcatus),30,0,3,33.0
0306 36 60,Artemia,5,0,0.5,5.5
0306 36 90,Other,30,0,3,33.0
0306 39 00,Other,30,5,3,39.65
0306 91 00,"Rock lobster and other sea crawfish (Palinurus spp., Jasus spp.)",30,0,3,33.0
0306 92 00,Lobsters (Homarus spp.),30,0,3,33.0
0306 93 00,Crabs,30,0,3,33.0
0306 94 00,Norway lobsters (Nephrops norvegicus),30,0,3,33.0
0306 95 00,Shrimps and prawns,30,0,3,33.0
